customer_id,gender,elderly,married,have_children,weeks_since_purchase,lives_in_large_city,lives_in_citycenter,loyalty_club_level,frequent_buyer_discount,is_bank_customer,loyalty_creditcard,weekly_email,loyaltyclub_magazine,purchase_online,segment_income,longtime_member,segment_type,avg_monthly_discount,control_group,Purchased
2242,Female,0,Yes,Yes,56,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,Yes,Hedonist,24.95,True,No
3026,Male,0,Yes,Yes,67,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,26.3,False,No
4482,Male,0,Yes,No,42,No,No,Basic,Yes,No,No,No,Yes,No,High Income,Yes,Traditionalist,40.15,False,No
3893,Female,0,No,No,17,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Hedonist,19.7,True,No
2016,Female,0,Yes,Yes,28,Yes,Yes,Basic,No,No,No,No,No,No,High Income,No,Rationalist,49.9,False,No
6479,Female,0,Yes,No,60,Yes,Yes,Premium,No,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Hedonist,110.8,True,No
2904,Male,0,Yes,Yes,12,No,No,Basic,No,Yes,No,Yes,No,No,High Income,No,Rationalist,35.5,False,No
5303,Female,0,Yes,Yes,10,Yes,No,Basic,No,Yes,No,Yes,No,Yes,High Income,Yes,Experientialist ,65.5,True,No
4697,Female,0,No,No,59,Yes,No,Premium,No,No,Yes,No,Yes,Yes,Low Income,No,Experientialist ,95.8,False,No
4706,Male,0,No,No,6,Yes,No,Premium,Yes,Yes,No,No,No,No,High Income,Yes,Experientialist ,78.95,False,No
2727,Male,0,No,Yes,27,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,20.6,True,No
3121,Female,0,Yes,No,69,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,Yes,Hedonist,24.95,True,No
6302,Female,1,No,No,67,Yes,Yes,Basic,No,Yes,No,No,No,No,High Income,No,Experientialist ,54.9,True,No
4612,Female,0,Yes,No,72,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,Yes,Hedonist,24.15,True,No
3348,Male,0,Yes,Yes,23,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,20.9,False,No
5867,Male,0,No,No,3,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Rationalist,19.65,True,No
5812,Male,0,Yes,No,61,Yes,Yes,Basic,No,Yes,Yes,No,Yes,Yes,Low Income,No,Traditionalist,80.9,True,No
3413,Male,0,Yes,Yes,2,Yes,No,Basic,Yes,Yes,No,Yes,No,No,Low Income,No,Rationalist,59.5,False,No
6213,Male,0,No,No,15,No,No,Basic,No,No,Yes,No,Yes,Yes,Middle Income,No,Experientialist ,50.75,True,No
7037,Female,0,No,No,12,No,No,Basic,No,Yes,Yes,Yes,Yes,Yes,Middle Income,No,Experientialist ,60.65,False,No
424,Male,0,Yes,Yes,44,Yes,Yes,Low engagement,No,No,No,No,No,No,Middle Income,No,Rationalist,25.7,True,No
5882,Female,0,No,No,34,Yes,No,Basic,Yes,No,Yes,Yes,Yes,Yes,Middle Income,Yes,Traditionalist,79.95,True,No
2549,Male,1,No,No,8,Yes,No,Premium,No,No,No,No,No,No,High Income,Yes,Hedonist,69.95,True,No
2240,Female,0,Yes,Yes,67,No,No,Basic,Yes,No,No,Yes,No,No,Low Income,No,Hedonist,35.7,True,No
1053,Female,0,No,No,40,Yes,Yes,Basic,No,No,Yes,Yes,Yes,Yes,Middle Income,Yes,Rationalist,80.75,True,No
5188,Female,1,No,No,41,Yes,Yes,Premium,No,Yes,Yes,No,Yes,Yes,High Income,Yes,Experientialist ,104.4,True,No
3257,Male,0,Yes,Yes,61,Yes,No,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Middle Income,No,Traditionalist,84.9,False,No
1415,Male,0,No,No,35,Yes,Yes,Premium,No,No,Yes,Yes,Yes,No,High Income,No,Experientialist ,95.5,True,No
801,Female,1,Yes,No,70,Yes,Yes,Premium,No,No,No,No,No,No,Low Income,Yes,Hedonist,75.65,True,No
2896,Female,0,Yes,No,37,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,Yes,Traditionalist,19.85,True,No
715,Male,0,Yes,No,72,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,25.4,False,No
1334,Male,0,No,No,50,No,No,Basic,Yes,No,No,Yes,No,No,Middle Income,Yes,Rationalist,35.4,True,No
5772,Female,0,No,No,12,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,20.4,False,No
909,Female,0,No,Yes,8,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,19.95,False,No
5470,Male,0,No,No,33,Yes,No,Premium,No,Yes,Yes,No,No,No,High Income,Yes,Hedonist,79.0,True,No
5426,Female,0,No,No,30,Yes,Yes,Premium,No,No,Yes,No,Yes,Yes,High Income,No,Experientialist ,100.45,False,No
2631,Male,0,Yes,No,63,Yes,Yes,Premium,Yes,No,No,Yes,No,No,Low Income,Yes,Hedonist,84.65,False,No
5675,Female,0,Yes,Yes,64,No,No,Basic,No,Yes,Yes,Yes,No,Yes,Low Income,No,Experientialist ,49.85,True,No
1380,Female,0,No,No,70,No,No,Basic,Yes,Yes,Yes,Yes,No,No,Low Income,Yes,Traditionalist,44.6,True,No
6310,Female,0,Yes,No,71,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Hedonist,25.6,True,No
4543,Female,1,Yes,No,32,Yes,Yes,Premium,No,No,Yes,No,No,No,High Income,No,Rationalist,79.3,True,No
4591,Female,1,No,No,57,Yes,Yes,Premium,Yes,No,Yes,Yes,No,Yes,Low Income,No,Hedonist,101.3,True,No
5576,Male,0,Yes,Yes,70,Yes,Yes,Basic,Yes,Yes,Yes,Yes,No,Yes,Middle Income,No,Traditionalist,78.35,False,No
6222,Male,0,No,No,26,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,Yes,Traditionalist,19.6,False,No
1942,Male,0,No,No,3,Yes,No,Basic,No,No,No,No,No,Yes,High Income,No,Rationalist,54.65,True,No
6896,Male,0,Yes,Yes,54,No,No,Basic,No,No,Yes,Yes,No,Yes,Low Income,No,Hedonist,46.0,False,No
734,Female,0,Yes,Yes,72,Yes,Yes,Premium,Yes,No,No,No,No,No,Low Income,No,Traditionalist,79.05,True,No
3711,Male,0,Yes,Yes,10,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Rationalist,20.45,True,No
33,Female,0,Yes,Yes,2,Yes,No,Basic,Yes,Yes,Yes,Yes,No,No,Middle Income,No,Rationalist,66.15,True,No
6021,Female,0,Yes,Yes,34,No,No,Basic,Yes,No,Yes,Yes,Yes,Yes,Middle Income,No,Rationalist,61.25,True,No
6184,Male,0,Yes,Yes,44,No,No,Basic,No,No,Yes,Yes,Yes,Yes,Middle Income,Yes,Experientialist ,54.3,True,No
5008,Male,0,No,No,25,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,20.6,False,No
3455,Female,1,Yes,Yes,29,No,No,Basic,No,Yes,Yes,No,No,No,High Income,Yes,Rationalist,35.65,False,No
565,Male,0,No,No,7,Yes,No,Basic,No,No,Yes,Yes,Yes,No,High Income,No,Traditionalist,64.3,True,No
7004,Male,0,No,No,26,No,No,Basic,No,No,Yes,Yes,No,No,High Income,No,Experientialist ,35.75,True,No
2037,Male,1,Yes,No,1,Yes,Yes,Premium,No,No,No,No,No,No,High Income,No,Experientialist ,74.3,True,No
2913,Male,1,Yes,No,32,Yes,Yes,Premium,No,Yes,Yes,No,No,Yes,High Income,Yes,Experientialist ,93.5,False,No
4347,Female,0,Yes,No,42,Yes,Yes,Basic,Yes,Yes,No,Yes,No,No,High Income,Yes,Hedonist,66.4,False,No
3949,Female,0,Yes,Yes,56,Yes,No,Premium,No,No,No,No,Yes,Yes,Middle Income,No,Traditionalist,88.9,False,No
3164,Male,1,No,No,39,Yes,Yes,Premium,No,Yes,No,No,No,Yes,High Income,No,Experientialist ,90.7,False,No
2336,Male,0,No,No,5,Yes,No,Basic,Yes,No,Yes,No,No,No,High Income,Yes,Rationalist,55.8,True,No
4691,Male,0,Yes,No,31,Yes,No,Basic,No,No,Yes,Yes,No,Yes,High Income,Yes,Hedonist,66.4,True,No
2196,Female,0,Yes,No,28,Yes,Yes,Low engagement,No,No,No,No,No,No,Middle Income,No,Rationalist,25.55,True,No
2539,Male,0,Yes,Yes,34,No,No,Basic,No,No,No,Yes,Yes,No,Low Income,Yes,Experientialist ,40.55,True,No
4363,Female,0,Yes,No,49,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Hedonist,20.7,True,No
989,Male,0,No,Yes,27,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,19.15,False,No
5777,Male,0,Yes,No,72,Yes,Yes,Basic,Yes,Yes,Yes,Yes,No,Yes,Low Income,Yes,Traditionalist,82.3,False,No
2702,Female,0,Yes,Yes,61,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Hedonist,19.1,False,No
1255,Female,1,Yes,No,55,Yes,No,Premium,No,No,Yes,Yes,Yes,No,Low Income,No,Hedonist,88.8,False,No
2573,Female,0,Yes,No,71,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,25.0,False,No
2400,Female,0,Yes,No,12,No,No,Basic,No,No,Yes,No,Yes,Yes,High Income,Yes,Traditionalist,49.85,True,No
3012,Female,0,Yes,Yes,9,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,19.75,True,No
5705,Female,0,Yes,No,19,Yes,Yes,Premium,No,No,No,No,Yes,No,High Income,Yes,Experientialist ,86.85,True,No
1389,Female,0,Yes,Yes,12,Yes,No,Basic,No,No,Yes,No,Yes,No,High Income,Yes,Hedonist,58.35,True,No
4773,Female,0,Yes,Yes,69,Yes,No,Basic,No,Yes,Yes,Yes,No,No,Middle Income,No,Traditionalist,59.1,True,No
5628,Male,1,Yes,No,7,Yes,Yes,Premium,No,No,No,No,No,No,High Income,Yes,Experientialist ,74.85,True,No
6287,Female,0,No,Yes,8,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,20.05,False,No
201,Female,0,Yes,No,27,Yes,No,Premium,Yes,No,No,Yes,Yes,Yes,Middle Income,Yes,Hedonist,101.9,False,No
5167,Male,0,No,No,61,Yes,Yes,Premium,Yes,No,Yes,No,Yes,Yes,Middle Income,No,Experientialist ,104.0,True,No
3430,Female,0,Yes,Yes,53,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Traditionalist,19.55,True,No
1289,Male,0,No,No,64,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,19.55,False,No
2349,Male,0,Yes,Yes,61,No,No,Basic,Yes,No,Yes,No,No,No,High Income,No,Traditionalist,33.6,True,No
5658,Male,0,Yes,No,18,Yes,Yes,Premium,No,No,No,No,Yes,Yes,High Income,Yes,Experientialist ,94.75,True,No
5061,Female,0,No,No,18,No,No,Basic,No,No,Yes,Yes,No,No,High Income,Yes,Experientialist ,35.2,False,No
6966,Female,1,Yes,No,61,Yes,Yes,Premium,Yes,Yes,Yes,Yes,No,No,High Income,Yes,Hedonist,94.2,True,No
5621,Male,0,Yes,No,72,Yes,Yes,Premium,No,Yes,Yes,No,Yes,Yes,Low Income,Yes,Traditionalist,104.8,True,No
3599,Male,1,No,No,1,Yes,No,Basic,No,No,No,No,No,No,High Income,No,Experientialist ,46.3,False,No
6151,Male,0,No,No,32,Yes,No,Premium,No,No,No,No,Yes,Yes,High Income,No,Experientialist ,91.05,True,No
216,Female,0,Yes,No,57,No,No,Basic,Yes,Yes,Yes,No,Yes,Yes,High Income,Yes,Traditionalist,58.75,False,No
2820,Female,0,No,No,4,Yes,No,Basic,Yes,Yes,No,No,No,No,High Income,No,Experientialist ,55.2,False,No
1795,Female,0,Yes,Yes,71,Yes,Yes,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,No,Rationalist,91.05,False,No
2924,Male,0,No,No,54,Yes,No,Premium,Yes,No,Yes,No,Yes,No,High Income,No,Rationalist,89.8,False,No
2409,Female,0,Yes,Yes,45,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,20.85,True,No
758,Female,0,No,No,3,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,19.85,True,No
2953,Female,0,Yes,Yes,26,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Hedonist,20.25,False,No
5020,Male,1,No,No,14,Yes,Yes,Premium,No,No,No,No,Yes,Yes,High Income,Yes,Experientialist ,95.6,True,No
72,Female,0,Yes,Yes,52,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,Yes,Experientialist ,20.4,True,No
6595,Male,0,No,No,14,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Experientialist ,20.05,False,No
2322,Female,1,No,No,65,Yes,Yes,Premium,No,Yes,Yes,No,Yes,No,High Income,Yes,Traditionalist,95.45,False,No
4810,Female,0,Yes,No,1,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Traditionalist,20.3,True,No
343,Female,0,Yes,Yes,66,Yes,Yes,Basic,Yes,Yes,Yes,No,No,No,High Income,Yes,Traditionalist,67.45,True,No
6264,Female,0,No,No,25,No,No,Basic,No,No,Yes,Yes,Yes,Yes,Middle Income,No,Experientialist ,54.2,False,No
145,Male,1,Yes,No,71,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,23.95,True,No
2732,Female,0,No,No,63,Yes,Yes,Premium,Yes,Yes,Yes,No,Yes,Yes,High Income,No,Hedonist,108.25,True,No
751,Female,0,No,No,27,Yes,No,Basic,Yes,Yes,No,No,No,No,High Income,Yes,Rationalist,56.7,False,No
1947,Male,0,Yes,Yes,55,Yes,Yes,Premium,No,No,Yes,No,Yes,No,High Income,Yes,Hedonist,90.4,False,No
5939,Male,1,Yes,Yes,34,Yes,Yes,Premium,No,Yes,Yes,Yes,Yes,Yes,High Income,Yes,Experientialist ,108.9,False,No
3510,Male,0,No,No,1,Yes,No,Basic,No,No,No,No,No,No,High Income,Yes,Rationalist,44.9,True,No
2066,Female,0,No,No,34,Yes,Yes,Premium,No,No,No,No,Yes,No,High Income,No,Experientialist ,85.35,True,No
4104,Male,0,Yes,Yes,72,Yes,Yes,Premium,No,No,Yes,No,No,Yes,Low Income,Yes,Hedonist,90.8,True,No
2149,Male,0,No,Yes,6,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,19.55,False,No
4628,Male,0,No,No,60,Yes,Yes,Premium,Yes,Yes,Yes,Yes,Yes,Yes,Middle Income,Yes,Hedonist,116.6,False,No
3863,Male,0,Yes,Yes,70,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,25.4,True,No
532,Male,0,Yes,Yes,70,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Hedonist,20.05,False,No
6732,Female,0,No,No,24,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,Yes,Traditionalist,19.55,False,No
2695,Male,0,Yes,Yes,8,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Hedonist,19.65,False,No
6299,Male,0,Yes,Yes,46,Yes,Yes,Premium,No,Yes,No,No,No,No,High Income,Yes,Traditionalist,80.0,True,No
154,Male,0,Yes,Yes,62,Yes,No,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,No,Experientialist ,86.1,False,No
3536,Male,0,Yes,Yes,64,Yes,Yes,Premium,No,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Hedonist,109.2,True,No
2945,Male,0,No,No,12,No,No,Basic,Yes,Yes,No,Yes,Yes,No,High Income,Yes,Traditionalist,50.95,True,No
6921,Male,0,No,Yes,27,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Hedonist,19.7,False,No
5075,Female,0,No,Yes,49,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Hedonist,19.45,False,No
5982,Female,0,Yes,Yes,38,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,Yes,Rationalist,20.2,True,No
5562,Male,0,No,No,1,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Experientialist ,20.65,True,No
1302,Female,0,Yes,Yes,66,Yes,No,Basic,Yes,Yes,No,Yes,No,No,Low Income,Yes,Hedonist,58.2,False,No
4313,Male,0,Yes,Yes,33,Yes,No,Basic,No,Yes,Yes,Yes,Yes,Yes,Low Income,No,Hedonist,82.1,True,No
1312,Male,0,Yes,Yes,42,No,No,Basic,No,Yes,Yes,No,No,Yes,Middle Income,Yes,Hedonist,45.1,False,No
3548,Male,1,Yes,No,70,Yes,Yes,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,No,Hedonist,90.05,True,No
804,Female,0,Yes,No,46,Yes,No,Basic,No,Yes,No,Yes,Yes,No,Low Income,Yes,Hedonist,64.2,False,No
2726,Female,0,No,No,2,No,No,Basic,No,No,No,No,No,No,High Income,No,Experientialist ,24.5,True,No
1877,Male,0,Yes,No,47,Yes,Yes,Premium,No,No,No,No,Yes,Yes,Middle Income,Yes,Hedonist,95.2,True,No
972,Male,0,Yes,No,49,Yes,Yes,Premium,Yes,Yes,No,No,Yes,No,High Income,Yes,Traditionalist,93.85,True,No
4761,Male,0,Yes,Yes,66,Yes,No,Basic,Yes,Yes,Yes,Yes,Yes,No,Middle Income,Yes,Experientialist ,75.1,False,No
553,Male,0,Yes,Yes,55,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,19.35,False,No
3608,Female,0,No,No,13,Yes,No,Basic,Yes,No,No,Yes,No,No,Middle Income,No,Rationalist,55.15,False,No
4156,Female,1,No,No,72,Yes,Yes,Premium,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Hedonist,117.35,True,No
